17??9??0	1	93.5	90	90	90	90	27.2	90	90
17??9??0	1	92.9	90	90	90	90	27.2	90	90
17??9??1	1	92.4	90	90	90	90	27.2	90	90
17??9??1	1	91.8	90	90	90	90	27.2	90	90
17??9??1	1	91.3	90	90	90	90	27.2	90	90
17??9??1	1	90.7	90	90	90	90	27.2	90	90
17??9??1	1	90.2	90	90	90	90	27.2	90	90
17??9??1	1	89.6	90	90	90	90	27.3	90	90
17??9??1	1	88.5	90	90	90	90	27.3	90	90
17??9??1	1	88	90	90	90	90	27.3	90	90
17??9??1	1	87.5	90	90	90	90	27.3	90	90
17??9??1	1	87	90	90	90	90	27.3	90	90
17??9??2	1	86.4	90	90	90	90	27.3	90	90
17??9??2	1	85.9	90	90	90	90	27.3	90	90
17??9??2	1	85.4	90	90	90	90	27.3	90	90
17??9??2	1	84.4	90	90	90	90	27.3	90	90
17??9??2	1	83.9	90	90	90	90	27.3	90	90
17??9??2	1	83.4	90	90	90	90	27.3	90	90
17??9??2	1	82.9	90	90	90	90	27.3	90	90
17??9??2	1	82.4	90	90	90	90	27.3	90	90
17??9??2	1	81.9	90	90	90	90	27.3	90	90
17??9??3	1	81.4	90	90	90	90	27.3	90	90
17??9??3	1	80.4	90	90	90	90	27.3	90	90
17??9??3	1	79.9	90	90	90	90	27.3	90	90
17??9??3	1	79.4	90	90	90	90	27.3	90	90
17??9??3	1	78.9	90	90	90	90	27.3	90	90
17??9??3	1	78.5	90	90	90	90	27.3	90	90
17??9??3	1	78	90	90	90	90	27.3	90	90
17??9??3	1	77.6	90	90	90	90	27.3	90	90
17??9??3	1	77.1	90	90	90	90	27.3	90	90
17??9??4	1	76.2	90	90	90	90	27.4	90	90
17??9??4	1	75.8	90	90	90	90	27.4	90	90
17??9??4	1	75.4	90	90	90	90	27.4	90	90
17??9??4	1	75	90	90	90	90	27.4	90	90
17??9??4	1	74.6	90	90	90	90	27.4	90	90
17??9??4	1	74.2	90	90	90	90	27.4	90	90
17??9??4	1	73.8	90	90	90	90	27.4	90	90
17??9??4	1	73.7	90	90	90	90	27.4	90	90
17??9??4	1	73.8	90	90	90	90	27.4	90	90
17??9??5	1	74	90	90	90	90	27.4	90	90
17??9??5	1	74.2	90	90	90	90	27.4	90	90
17??9??5	1	74.5	90	90	90	90	27.4	90	90
17??9??5	1	74.8	90	90	90	90	27.4	90	90
17??9??5	1	75.1	90	90	90	90	27.4	90	90
17??9??5	1	75.9	90	90	90	90	27.4	90	90
17??9??5	1	76.4	90	90	90	90	27.4	90	90
17??9??5	1	76.9	90	90	90	90	27.4	90	90
17??9??5	1	77.3	90	90	90	90	27.5	90	90
17??9??5	1	77.8	90	90	90	90	27.5	90	90
17??0??0	1	78.3	90	90	90	90	27.5	90	90
17??0??0	1	78.8	90	90	90	90	27.5	90	90
17??0??0	1	79.4	90	90	90	90	27.5	90	90
17??0??0	1	80.4	90	90	90	90	27.5	90	90
17??0??0	1	81	90	90	90	90	27.5	90	90
17??0??0	1	81.5	90	90	90	90	27.5	90	90
17??0??0	1	82.1	90	90	90	90	27.5	90	90
